Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2020, eco1, 0, 60.48, 18.46, 0, 365, 0, 
2021, eco1, 0, 160.7, 16.96, 0, 365, 0, 
2022, eco1, 0, 84.42, 15.73, 18, 321, 0, 
2023, eco1, 0, 123.95, 16.51, 0, 308, 0, 
2024, eco1, 0, 137.23, 15.94, 0, 335, 0, 
2025, eco1, 0, 84.66, 18, 0, 316, 0, 
2026, eco1, 0, 156.75, 17.66, 0, 365, 0, 
2027, eco1, 0, 61.98, 17.43, 0, 365, 0, 
2028, eco1, 0, 118.21, 17.46, 0, 347, 0, 
2029, eco1, 0, 166.41, 17.16, 0, 365, 0, 
2030, eco1, 0, 87.41, 17.8, 0, 365, 0, 
2031, eco1, 0, 91.59, 17.73, 0, 365, 0, 
2032, eco1, 0, 111.85, 17.03, 0, 365, 0, 
2033, eco1, 0, 160.88, 16.23, 0, 341, 0, 
2034, eco1, 0, 133.35, 16.85, 0, 365, 0, 
2035, eco1, 0, 85.53, 17.88, 0, 333, 0, 
2036, eco1, 0, 138.66, 18.51, 0, 342, 0, 
2037, eco1, 0, 106.28, 17.74, 0, 314, 0, 
2038, eco1, 0, 97.42, 18.97, 0, 351, 0, 
2039, eco1, 0, 117.56, 18.11, 0, 365, 0, 
2040, eco1, 0, 100.95, 18.37, 0, 365, 0, 
2041, eco1, 0, 104.95, 17.57, 0, 365, 0, 
2042, eco1, 0, 142.57, 17.47, 0, 365, 0, 
2043, eco1, 0, 103.67, 17.98, 0, 365, 0, 
2044, eco1, 0, 99.33, 19.14, 0, 365, 0, 
2045, eco1, 0, 107.73, 18.2, 0, 365, 0, 
2046, eco1, 0, 129.2, 19.18, 0, 318, 0, 
2047, eco1, 0, 115.04, 17.82, 0, 315, 0, 
2048, eco1, 0, 144.26, 17.21, 0, 342, 0, 
2049, eco1, 0, 66.83, 18.52, 0, 365, 0, 
2050, eco1, 0, 85.36, 19.68, 0, 345, 0, 
2051, eco1, 0, 90.89, 18.78, 0, 348, 0, 
2052, eco1, 0, 102.95, 18.01, 0, 365, 0, 
2053, eco1, 0, 115.26, 19.92, 0, 365, 0, 
2054, eco1, 0, 135.25, 17.94, 0, 316, 0, 
2055, eco1, 0, 94.55, 19.19, 0, 318, 0, 
