Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 0, 5609, 0, 4450.3, 5977.6, 0, 0, 0, 0, 5, 247, 0, 0, 0, 2809.5, 280.9, 1023.2, 24.8, 652.3, 115.1, 0, 0, 769.8, 1188.5, 1261.5, 1230.5, 0, 0, 7.6, 3, 5.1, 0.1, 3.3, 11.5, 0, 0, 51.3, 59.6, 51.2, 49.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 231.1, 0, 0, 
0, eco2, 1, 36603, 0, 6662.5, 12166.1, 0, 0, 0, 0, 5, 371.5, 0, 0, 0, 5718.1, 571.8, 1986.1, 76.3, 1266.1, 223.4, 0, 0, 785.1, 1804.5, 1945.1, 2127.9, 0, 0, 14.9, 6.4, 9.9, 0.4, 6.3, 22.3, 0, 0, 52.4, 90.2, 78.5, 85.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 339.9, 0, 0, 
0, eco3, 2, 41420, 0, 8756.9, 18206, 0, 0, 0, 0, 5, 493.3, 0, 0, 0, 8556.8, 855.7, 2842.1, 98.8, 1811.8, 319.7, 0, 0, 1066.2, 2193.2, 2586.1, 2911.4, 0, 0, 22.2, 9, 14.2, 0.5, 9.1, 32, 0, 0, 71.1, 109.7, 104, 116.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 447.4, 0, 0, 
0, eco4, 3, 45644, 0, 7716.6, 21383, 0, 0, 0, 0, 5, 464.8, 0, 0, 0, 10050, 1005, 3255.1, 94, 2075.2, 366.2, 0, 0, 1122, 2086.5, 2460.5, 2047.7, 0, 0, 26.8, 9.4, 16.3, 0.5, 10.4, 36.6, 0, 0, 74.8, 104.3, 98.7, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 411.8, 0, 0, 
0, eco5, 4, 41067, 0, 6536.6, 20227.9, 0, 0, 0, 0, 5, 406.1, 0, 0, 0, 9507.1, 950.7, 3241.7, 81.9, 2066.6, 364.7, 0, 0, 899.4, 1812.7, 2133.3, 1691.2, 0, 0, 27.1, 6.6, 16.2, 0.4, 10.3, 36.5, 0, 0, 59.9, 90.6, 85.6, 67.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 355.7, 0, 0, 
0, eco6, 5, 62055, 0, 8030.6, 21306.5, 0, 0, 0, 0, 5, 469.9, 0, 0, 0, 10014, 1001.4, 3108.8, 101.2, 1981.9, 349.7, 0, 0, 801.5, 2228.4, 2611.5, 2389.2, 0, 0, 33.5, 5.3, 15.5, 0.5, 9.9, 35, 0, 0, 53.4, 111.4, 104.7, 95.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 415.1, 0, 0, 
0, eco7, 6, 34375, 0, 9068.7, 22857, 0, 0, 0, 0, 5, 525.9, 0, 0, 0, 10742.8, 1074.3, 3316.4, 115.5, 2114.2, 373.1, 0, 0, 892.6, 2536.1, 2932.2, 2707.8, 0, 0, 38, 5.8, 16.6, 0.6, 10.6, 37.3, 0, 0, 59.5, 126.8, 117.4, 108.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 464.9, 0, 0, 
0, eco8, 7, 8287, 0, 8432.4, 20840.1, 0, 0, 0, 0, 5, 497.1, 0, 0, 0, 9794.9, 979.5, 3118.8, 120, 1988.2, 350.9, 0, 0, 1047.5, 2635.5, 2542.4, 2207, 0, 0, 34.3, 5.2, 15.6, 0.6, 9.9, 35.1, 0, 0, 69.4, 131.8, 101.8, 88.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 441.4, 0, 0, 
0, eco9, 8, 336, 0, 6241.5, 15174.1, 0, 0, 0, 0, 5, 365.9, 0, 0, 0, 7131.8, 713.2, 2174.4, 96.3, 1386.2, 244.6, 0, 0, 801.3, 2040.9, 1751.4, 1647.9, 0, 0, 23.7, 3.6, 10.9, 0.5, 6.9, 24.5, 0, 0, 52.8, 102.1, 70.2, 65.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 327.3, 0, 0, 
0, eco10, 9, 18, 0, 2692.4, 5916.7, 0, 0, 0, 0, 5, 156.3, 0, 0, 0, 2780.9, 278.1, 798.8, 38.6, 509.2, 89.9, 0, 0, 338, 831.1, 838.7, 684.7, 0, 0, 9.3, 1.5, 4, 0.2, 2.5, 9, 0, 0, 22.4, 41.4, 33.4, 27.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141.4, 0, 0, 
